Team 1,Team 2,Winner,Margin,Ground,Date,Year,Toss Winner,Toss Decision
New Zealand,Australia,Australia,44 runs,Auckland,Feb-17,2005,Australia,Bat
England,Australia,England,100 runs,Southampton,Jun-13,2005,England,Bat
South Africa,New Zealand,New Zealand,5 wickets,Johannesburg,Oct-21,2005,New Zealand,Field
Australia,South Africa,Australia,95 runs,Brisbane,Jan 9,2006,Australia,Bat
New Zealand,West Indies,tied,,Auckland,Feb 16,2006,New Zealand,Field
South Africa,Australia,South Africa,2 runs,Johannesburg,Feb 24,2006,South Africa,Bat
England,Sri Lanka,Sri Lanka,2 runs,Southampton,Jun 15,2006,Sri Lanka,Bat
England,Pakistan,Pakistan,5 wickets,Bristol,Aug 28,2006,England,Bat
Bangladesh,Zimbabwe,Bangladesh,43 runs,Khulna,Nov 28,2006,Zimbabwe,Field
South Africa,India,India,6 wickets,Johannesburg,Dec 1,2006,South Africa,Bat
New Zealand,Sri Lanka,Sri Lanka,18 runs,Wellington,Dec 22,2006,New Zealand,Bat
New Zealand,Sri Lanka,New Zealand,5 wickets,Auckland,Dec 26,2006,New Zealand,Field
Australia,England,Australia,77 runs,Sydney,Jan 9,2007,Australia,Bat
South Africa,Pakistan,South Africa,10 wickets,Johannesburg,Feb 2,2007,South Africa,Field
England,West Indies,West Indies,15 runs,The Oval,Jun 28,2007,West Indies,Bat
England,West Indies,England,5 wickets,The Oval,Jun 29,2007,West Indies,Bat
Kenya,Bangladesh,Bangladesh,5 wickets,Nairobi (Gym),Sep 1,2007,Bangladesh,Field
Bangladesh,Pakistan,Pakistan,30 runs,Nairobi (Gym),Sep 2,2007,Bangladesh,Field
Kenya,Pakistan,Pakistan,8 wickets,Nairobi (Gym),Sep 4,2007,Kenya,Bat
South Africa,West Indies,South Africa,8 wickets,Johannesburg,Sep 11,2007,South Africa,Field
Kenya,New Zealand,New Zealand,9 wickets,Durban,Sep 12,2007,New Zealand,Field
Pakistan,Scotland,Pakistan,51 runs,Durban,Sep 12,2007,Scotland,Field
Australia,Zimbabwe,Zimbabwe,5 wickets,Cape Town,Sep 12,2007,Australia,Bat
Bangladesh,West Indies,Bangladesh,6 wickets,Johannesburg,Sep 13,2007,Bangladesh,Field
England,Zimbabwe,England,50 runs,Cape Town,Sep 13,2007,England,Bat
India,Scotland,no result,,Durban,Sep 13,2007,Scotland,Field
